id,district_name,jan_lowest_PM2.5,jan_highest_PM2.5,jan_average_PM2.5,jan_day_exceeding_month,feb_lowest_PM2.5,feb_highest_PM2.5,feb_average_PM2.5,feb_day_exceeding_month,mar_lowest_PM2.5,mar_highest_PM2.5,mar_average_PM2.5,mar_day_exceeding_month,apr_lowest_PM2.5,apr_highest_PM2.5,apr_average_PM2.5,apr_day_exceeding_month,may_lowest_PM2.5,may_highest_PM2.5,may_average_PM2.5,may_day_exceeding_month,jun_lowest_PM2.5,jun_highest_PM2.5,jun_average_PM2.5,jun_day_exceeding_month,jul_lowest_PM2.5,jul_highest_PM2.5,jul_average_PM2.5,jul_day_exceeding_month,aug_lowest_PM2.5,aug_highest_PM2.5,aug_average_PM2.5,aug_day_exceeding_month,sep_lowest_PM2.5,sep_highest_PM2.5,sep_average_PM2.5,sep_day_exceeding_month,oct_lowest_PM2.5,oct_highest_PM2.5,oct_average_PM2.5,oct_day_exceeding_month,nov_lowest_PM2.5,nov_highest_PM2.5,nov_average_PM2.5,nov_day_exceeding_month,dec_lowest_PM2.5,dec_highest_PM2.5,dec_average_PM2.5,dec_day_exceeding_month,location
1,ราชเทวี,22.1,58.9,34.2,9.0,13.1,63.2,27.3,4.0,13.9,32.2,20.2,0,11.5,50.7,23.2,2.0,6.1,37.3,17.6,0.0,6.2,12.8,9.1,0.0, - , - , - , - ,6.8,16.4,9,0.0,7.8,24.9,12.5,0.0,8.9,33.9,16.8,0.0,11.7,37.7,20.3,1.0,13.5,43.5,27.8,3.0,สวนสันติภาพ
2,ปทุมวัน,19.8,55.6,30.8,5.0,10.7,58.9,23.4,4.0, - , - , - , - , - , - , - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - , - ,5.3,11.8,8.5,0.0, - , - , - ,0.0,5.9,29.0,15.3,0.0,11.3,33.0,18.6,0.0,16.7,39.1,26.4,1.0,สวนลุมพินี
3,คลองเตย,24.3,58.5,35.8,10.0,16.0,70.9,32.3,4.0,14.5,20.7,17.7,0,11.8,48.5,22.7,2.0,6.7,37.9,18,1.0,6.5,6.9,6.7,0.0, - , - , - , - , - , - , - ,0.0,8.6,24.4,12.9,0.0,6.3,32.6,17.0,0.0,13.2,36.6,21.8,0.0,15.2,43.0,29.3,4.0,อุทยานเบญจสิริ
4,คลองเตย,21.7,61.8,35.5,10.0,12.7,68.4,27.9,4.0,13.4,21,17,0,11.1,50,22.2,2.0,6.5,36.7,17.4,0.0,5.8,5.9,5.9,0.0, - , - , - , - , - , - , - ,0.0,8.4,25.8,14,0.0,8.0,32.3,16.6,0.0,12.3,36.1,21.0,0.0,15.1,42.2,27.9,3.0,สวนเบญจกิติ
5,บางคอแหลม,21.0,55.9,33.0,8.0,10.6,63.5,23.2,4.0,10.6,44.1,18.9,1,8.8,42,19,1.0,7.4,33,16.6,0.0,6,12.9,8.7,0.0, - , - , - , - , - , - , - ,0.0,8.9,35.2,15.5,0.0,7.7,34.2,19.1,0.0,13.3,41.0,22.6,3.0,15.7,44.2,28.8,4.0,สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา
6,ดอนเมือง,25.8,59.9,42.5,18.0,18.8,73.1,38.2,6.0, - , - , - , - ,13.8,38.5,23.1,1.0,10.2,37.3,22.7,0.0,9.1,16.5,11.8,0.0, - , - , - , - , - , - , - ,0.0,8.7,23.5,14.9,0.0,8.9,30.6,17.5,0.0,14.7,40.8,25.2,2.0,18.9,52.4,35.2,13.0,สวนรมณีย์ทุ่งสีกัน
7,บางเขน,23.6,55.5,36.9,13.0,13.0,66.2,28.8,5.0,14.1,21.6,18,0,12.8,47.2,23.1,1.0,8.7,36,18.3,0.0,7.5,11.5,9.3,0.0,6,19.5,10,0,7.7,13.9,9.6,0.0,6.2,21.2,12.4,0.0,8.0,28.7,16.1,0.0,15.5,37.4,22.0,0.0,14.9,40.6,29.8,4.0,สวนกีฬารามอินทรา
8,จตุจักร,23.2,59.3,35.5,11.0,12.5,63.4,28.0,4.0,14.4,32.2,21.6,0,12.5,51.8,23.7,2.0,11.3,37.6,21.6,1.0,7.2,11.7,9.6,0.0,6.4,13.3,9.2,0,6.3,14.3,9.1,0.0,6.8,22.3,12.7,0.0,7.0,28.9,15.5,0.0,13.1,36.6,20.8,0.0,13.9,42.4,28.5,3.0,สวนวชิรเบญจทัศ
9,จตุจักร,22.4,57.7,34.0,10.0,13.9,61.4,27.8,4.0,15.4,31.8,21.9,0,13.2,50.4,24.1,3.0,9.6,37.6,18.9,1.0,7.1,12.3,9.5,0.0, - , - , - , - , - , - , - ,0.0,8.3,22.1,12.4,0.0,7.3,28.0,15.7,0.0,13.6,35.9,20.8,0.0,15.3,41.0,28.3,2.0,สวนจตุจักร
10,จตุจักร,22.5,60.1,34.7,10.0,13.2,65.5,28.4,4.0,14.2,34.1,22.1,0,11.9,50.1,23.8,3.0,7.3,38,18,1.0,7,10.2,8.2,0.0, - , - , - , - , - , - , - ,0.0,8.2,23.9,13.4,0.0,7.5,28.5,15.8,0.0,11.5,35.7,20.4,0.0,12.5,45.7,28.2,3.0,สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ
11,ประเวศ,20.6,50.9,33.3,9.0,11.2,68.8,25.2,4.0, - , - , - , - , - , - , - ,0.0,7.9,28.2,13.1,0.0,6.9,16.1,10.6,0.0, - , - , - , - , - , - , - ,0.0,8.3,23.4,13.2,0.0,6.8,27.8,15.7,0.0,11.9,33.3,18.8,0.0,12.1,37.5,26.1,0.0,สวนหลวง ร.9
12,บึงกุ่ม,28.7,65.8,43.5,20.0,18.7,79.9,36.9,9.0,19.5,28.2,24.7,0,16.8,54.7,29.3,3.0,13.7,42.9,24.9,5.0,13.9,14.2,14.1,0.0,12.9,21.1,16,0,15.7,19.5,17.9,0.0,14.3,29,20.9,0.0,12.4,35.6,21.1,0.0,18.5,43.4,25.9,1.0,19.5,44.7,33.5,10.0,สวนเสรีไทย
13,หนองจอก,23.4,73.4,40.6,17.0,18.0,75.6,32.5,5.0,16.6,52.8,26.3,2,11.9,51.9,24.8,2.0,8.2,34.4,18.4,0.0,7.4,8.5,8,0.0, - , - , - , - , - , - , - ,0.0,9.4,21.7,14.3,0.0,7.5,31.4,16.5,0.0,13.4,39.1,20.8,1.0,12.9,43.1,29.1,6.0,สวนหนองจอก
14,ลาดกระบัง,26.9,63.7,42.5,20.0,18.0,75.2,33.2,8.0,17.9,59.9,28.3,2,23,29.1,25.7,0.0,12.2,35.3,18.8,0.0,12.2,23.5,16.3,0.0,12.2,17.9,15.6,0,12.7,23.2,16.6,0.0,12.3,28.3,18.2,0.0,14.5,34.8,22.2,0.0,19.0,42.4,25.9,1.0,17.9,49.2,32.3,8.0,สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ
15,ลาดกระบัง,24.1,50.9,32.6,1.0,16.1,32.3,23.8,0.0,12.5,47.3,20.7,1,8.5,41.9,19.2,2.0,5.6,31.9,16.2,0.0,4.6,9.1,6.3,0.0, - , - , - , - , - , - , - ,0.0,7.5,20.2,11.7,0.0,7.5,30.4,15.2,0.0,13.0,36.1,20.7,0.0,12.2,41.6,27.4,3.0,สวนพระนคร
16,บางพลัด,27.6,65.7,39.9,14.0,16.6,70.5,31.6,6.0,17.3,29.2,23.8,0,14.8,49.5,26.8,3.0,9.7,44.9,22.1,4.0,9.1,9.1,9.1,0.0, - , - , - , - , - , - , - ,0.0,12.7,33.9,18.3,0.0,10.3,44.9,23.7,1.0,15.1,44.2,25.4,3.0,16.6,48.6,31.6,8.0,สวนหลวงพระราม 8
17,ทวีวัฒนา,26.8,73.4,47.4,26.0,23.5,77.4,37.7,11.0,33.4,35.3,34.1,0, - , - , - ,0.0, - , - , - ,0.0, - , - , - ,0.0, - , - , - , - , - , - , - ,0.0,15.2,32,21.5,0.0,12.4,45.5,28.4,5.0,17.6,52.8,33.4,9.0,16.1,58.3,34.3,12.0,สวนทวีวนารมย์
18,บางกอกน้อย,27.9,65.2,40.1,15.0,16.3,69.5,30.5,6.0,16.8,27.7,22.5,0,15.3,53.3,26.7,3.0,11.4,42.1,21.8,4.0,9.5,9.5,9.5,0.0,10.5,21.2,14.4,0,10.4,20.7,14,0.0,10.9,27.3,17.1,0.0,11.0,38.7,21.4,1.0,17.4,44.0,26.5,4.0,19.5,51.9,34.3,12.0,สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว
19,บางแค,20.6,58.1,37.0,13.0,12.2,65.5,25.1,4.0,10.3,51.2,19.7,2,9.4,39.4,21.6,1.0,8.3,38.6,19.6,1.0, - , - , - ,0.0, - , - , - , - , - , - , - ,0.0,15.5,21,18.3,0.0,4.9,30.5,17.7,0.0,12.9,40.9,23.8,2.0,16.3,55.7,32.5,8.0,สวนบางแคภิรมย์
20,ทุ่งครุ,23.0,62.1,38.4,13.0,12.0,78.0,26.5,4.0,11.7,33.6,19.8,0,10.7,48.8,22.8,3.0,6,39.5,18.8,2.0,4.7,6.9,5.8,0.0, - , - , - , - , - , - , - ,0.0,9.2,27.6,16,0.0,7.4,34.9,18.5,0.0,14.3,43.6,23.3,3.0,17.7,51.4,31.9,9.0,สวนธนบุรีรมย์
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หมายเหตุ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
